Country,Number of Billionaires
Algeria,1
Argentina,5
Australia,44
Austria,12
Belgium,3
Brazil,65
Canada,64
Chile,9
China,626
Colombia,5
Cyprus,5
Czechia,9
Denmark,10
Egypt,6
Eswatini,1
Finland,7
France,42
Georgia,2
Germany,136
Greece,4
Guernsey,1
Hong Kong,72
Hungary,2
Iceland,2
India,140
Indonesia,21
Ireland,9
Israel,25
Italy,51
Japan,49
Kazakhstan,5
Lebanon,6
Lichtenstein,1
Macao,1
Malaysia,17
Mexico,13
Monaco,3
Morocco,2
Nepal,1
Netherlands,12
New Zealand,2
Nigeria,3
Norway,12
Oman,1
Peru,6
Philipines,17
Poland,8
Portugal,2
Qatar,2
Romania,2
Russia,118
Singapore,27
Slovakia,2
South Africa,5
South Korea,43
Spain,30
St. Kitts and Nevis,1
Sweden,31
Switzerland,40
Taiwan,47
Tanzania,1
Thailand,31
Turkey,27
Ukraine,7
United Arab Emirates,4
United Kingdom,56
United States,724
Venezuela,1
Vietnam,7
Zimbabwe,1